feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),0,646.1860626098247,645.376815437714,646.9953097819355,0.412881210260582,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),1,574.8028862233637,574.2647233264523,575.341049120275,0.27457290658741607,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),2,591.4946859435158,590.9962986100279,591.9930732770038,0.254279251779558,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),3,627.4204395351223,627.0838254669329,627.7570536033118,0.17174187152523035,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),4,649.3398469817805,649.084968422458,649.594725541103,0.1300400812869706,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),5,657.3009276545392,656.9591791792801,657.6426761297984,0.17436146696891583,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),6,664.9503837903245,664.695505231002,665.205262349647,0.1300400812869706,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),7,671.5921255317412,671.3372469724187,671.8470040910637,0.1300400812869706,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),8,679.6037565216425,679.3177803315914,679.8897327116936,0.1459062194138149,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),9,684.4668436312294,684.2688839311058,684.6648033313529,0.10099984700177547,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),10,687.0834931051374,686.8452444373077,687.3217417729672,0.12155544277030822,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),11,685.1991565791884,684.9469762734988,685.4513368848781,0.1286634212702283,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,negative,After Head (dist < 0),12,173.54038114163282,169.3639985638258,177.71676371943985,2.1308074376566477,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,positive,Before Head (dist > 0),0,580.9797955092602,579.5797651945244,582.3798258239959,0.7143011809876386,105905,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv,positive,Before Head (dist > 0),1,543.6842311845625,542.8738062939138,544.4946560752111,0.41348208706562134,105905,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
