feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),0,0.008253230436746395,0.00820044684053137,0.008306014032961419,2.6930406232154826e-05,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),1,0.014049742104050626,0.013906192855026171,0.014193291353075082,7.323941276757959e-05,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),2,0.016911625547976875,0.016714820599770683,0.017108430496183068,0.00010041068786030147,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),3,0.01780952584066208,0.017620254136100532,0.01799879754522363,9.656719620487197e-05,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),4,0.019269605440719317,0.019069308272917147,0.019469902608521487,0.00010219243255212708,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),5,0.019369746440524832,0.01916157023947314,0.019577922641576526,0.0001062123474753531,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),6,0.02030758003823447,0.020095809257247223,0.020519350819221717,0.00010804631683022795,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),7,0.019526234105555214,0.019328023997268937,0.01972444421384149,0.0001011276062685077,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),8,0.01988313181009429,0.019685736875399245,0.020080526744789332,0.00010071170137502199,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv,negative,After Head (dist < 0),9,0.021913637993866922,0.02165542854067393,0.022171847447059915,0.00013173951693519947,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
