feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,0,629.0914775477398,544.8032339951319,84.28824355260792,79.55957400719595,89.0169130980199,2.412586502761211,34.93687934345145,2.0488911691472648e-267,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,1,658.9053283362472,596.3098698757104,62.59545846053675,59.76594094511117,65.42497597596233,1.443631385421212,43.35972402142886,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,2,670.4046231791739,613.9993342775522,56.4052889016217,53.94808639655751,58.8624914066859,1.2536747474817334,44.991963836651784,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,3,677.0923913674305,628.5004616370488,48.59192973038171,47.005358502900656,50.17850095786276,0.8094751160617628,60.02893574640058,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,4,685.2468395269336,639.9102798030734,45.336559723860205,44.03568827054765,46.63743117717276,0.6637099251594656,68.30779231298592,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,5,692.5742677976734,651.0912306464331,41.483037151240296,40.588184405074315,42.37788989740628,0.45655752355407014,90.86048309600895,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,6,699.2267942893274,660.0933862210386,39.13340806828876,38.47766383524132,39.789152301336195,0.33456338420787457,116.96859224730332,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,7,703.1415012997659,661.5606778087902,41.58082349097572,40.79052966097773,42.3711173209737,0.4032111377540739,103.12419374768523,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,8,702.7016161448211,663.1728916859703,39.528724458850775,38.8204181652781,40.23703075242345,0.36138076202687497,109.38248133947741,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,9,702.8575578739487,668.6101047086499,34.24745316529879,33.6198696568696,34.87503667372799,0.32019566756591583,106.9578905474996,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
