feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),0,544.8032339951319,541.1623226147449,548.4441453755189,1.8576078471362323,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),1,596.3098698757104,594.0677107101334,598.5520290412875,1.1439587579474457,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),2,613.9993342775522,612.2458372788193,615.7528312762851,0.8946413258841016,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),3,628.5004616370488,627.3473470454227,629.653576228675,0.5883237712378199,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),4,639.9102798030734,638.9357762738855,640.8847833322613,0.49719567815710575,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),5,651.0912306464331,650.3076116689476,651.8748496239186,0.3998056007579007,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),6,660.0933862210386,659.6037758827249,660.5829965593523,0.2498011930172041,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),7,661.5606778087902,660.9017794328719,662.2195761847084,0.336172640774618,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),8,663.1728916859703,662.6146190587655,663.7311643131751,0.28483297306368144,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,negative,Early positions (index <= 3),9,668.6101047086499,668.1549582216736,669.0652511956263,0.23221759539609194,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
