feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,0,6.6255883046279935,0.4868454239495589,6.138742880678435,5.363817937556954,6.913667823799916,0.39536986893953113,15.526582481219148,2.292773942175955e-54,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,1,10.445909984895728,5.715680639975002,4.730229344920726,3.6687052655708206,5.791753424270632,0.541593918035666,8.733904106746676,2.460297180815163e-18,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,2,14.20456373016086,6.870803943452307,7.333759786708553,6.115608985145372,8.551910588271735,0.6215055110016229,11.79999156385502,3.9035058989846165e-32,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,3,15.681955055125819,8.409640135186358,7.272314919939461,6.303396267846892,8.24123357203203,0.4943462510676373,14.710974148652845,5.481263546337483e-49,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,4,16.4138429375902,9.242857330381977,7.170985607208223,6.427169515562955,7.914801698853491,0.3794980059414634,18.895977040560076,1.2308764401718747e-79,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,5,19.15522282459893,10.710793342953526,8.444429481645404,7.694550058702466,9.194308904588341,0.38259154231782533,22.0716574927066,5.918185160410552e-108,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,6,20.08332240977297,11.908186632257058,8.17513577751591,7.4334160428458365,8.916855512185984,0.37842843605616033,21.60285802703972,1.6883955761898612e-103,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,7,21.888889186819863,12.709555122485092,9.179334064334771,8.387153575813777,9.971514552855766,0.4041737186331607,22.711358114470055,3.459835289348533e-114,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,8,21.46063038948408,13.35972170394522,8.10090868553886,7.317632710659354,8.884184660418367,0.3996305994283193,20.27099200393412,2.3193426989649214e-91,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,9,27.823383923542607,14.941708414536983,12.881675509005625,11.559857351974854,14.203493666036396,0.6743970188932504,19.101026766318864,2.4757044913460866e-81,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,10,30.194678656792306,16.229746815020405,13.9649318417719,12.33238170395148,15.59748197959232,0.832933743785929,16.76595761182297,4.3298170888369474e-63,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,11,26.888394882958845,18.72584230734855,8.162552575610295,6.798268453894645,9.526836697325946,0.6960633274059439,11.726738436328937,9.297250429920024e-32,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_gride_bert-base-uncased.csv,12,23.04290794059307,19.01230598609202,4.030601954501051,3.1450194660917044,4.9161844429103985,0.45182780020885066,8.920659491598272,4.635196868570468e-19,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
