feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,0,0.017766173872146518,0.01755794404812815,0.00020822982401836818,-1.7573708200415388e-05,0.00043403335623715177,0.00011520588378509366,1.807458240646827,0.07069086015404381,inconclusive,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,1,0.030550488455226753,0.025807231268765007,0.004743257186461746,0.0042767357618142595,0.005209778611109233,0.000238021135024228,19.927882395733192,2.332232811295353e-88,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,2,0.036654331169753876,0.030534618255766977,0.006119712913986899,0.005634982588866659,0.00660444323910714,0.00024731139036746964,24.74496991381543,3.511978014988647e-135,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,3,0.03889147037513854,0.032979409865913245,0.005912060509225298,0.005361395269014394,0.006462725749436201,0.00028095165316882836,21.042981746302967,2.6516830928331203e-98,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,4,0.03171386610574617,0.02901443488127959,0.0026994312244665794,0.0022369869201735457,0.003161875528759613,0.00023594097157807848,11.441129560548891,2.6047198889104122e-30,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,5,0.032373663399571664,0.030783345814845493,0.001590317584726171,0.0011304827068990765,0.0020501524625532656,0.00023460963154443599,6.778569039374492,1.213719753010818e-11,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,6,0.03238082473760807,0.033456060636283404,-0.0010752358986753363,-0.0016288880608159933,-0.0005215837365346793,0.0002824755929289066,-3.806473640878245,0.00014096230845243177,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,7,0.033702108186507325,0.034527219285153524,-0.0008251110986461987,-0.00141949973680795,-0.0002307224604844475,0.00030325950926619964,-2.7208086587053084,0.006512244389447769,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,8,0.033844999986746255,0.033761392822295365,8.360716445088984e-05,-0.0005780415755117609,0.0007452559044135406,0.0003375758877360463,0.24766924264526574,0.8043903313545108,inconclusive,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,9,0.03358004814844147,0.03486342622143773,-0.0012833780729962635,-0.0018996494668392667,-0.0006671066791532602,0.0003144241805321445,-4.081677404149456,4.471182947091951e-05,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,10,0.027886813160687272,0.03022194718614498,-0.002335134025457708,-0.0029257902767094736,-0.0017444777742059423,0.0003013552302304926,-7.748775502159603,9.278288514334808e-15,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,11,0.021934344096669132,0.0276771660778284,-0.005742821981159267,-0.006271515230473219,-0.005214128731845315,0.000269741453731608,-21.29009798721319,1.4023446022084173e-100,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,12,0.013911618697778617,0.022538954016914754,-0.008627335319136138,-0.009031588482429744,-0.008223082155842531,0.00020625161392530964,-41.82917726045225,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
