feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),0,0.01755794404812815,0.017343772907953272,0.017772115188303027,0.00010927098988514194,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),1,0.025807231268765007,0.02535693608984686,0.026257526447683154,0.00022974243822354465,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),2,0.030534618255766977,0.030072008539962395,0.030997227971571558,0.0002360253652064197,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),3,0.032979409865913245,0.032461602400639084,0.03349721733118741,0.00026418748228273565,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),4,0.02901443488127959,0.028605875170051427,0.029422994592507752,0.00020844883225926692,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),5,0.030783345814845493,0.030392160471735218,0.03117453115795577,0.00019958435872973184,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),6,0.033456060636283404,0.03303199667543029,0.03388012459713652,0.00021635916370056795,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),7,0.034527219285153524,0.03409991730931467,0.034954521260992376,0.00021801121216267943,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),8,0.033761392822295365,0.0332755299043903,0.03424725574020043,0.0002478892438291181,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_INDEX/index_bootstrap/index_raw_iso_bert-base-uncased.csv,negative,Early positions (index <= 3),9,0.03486342622143773,0.034325934975802413,0.03540091746707305,0.00027423022736496023,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
