feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),0,545.7945684019511,542.4624014545144,549.1267353493878,1.7000851772636292,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),1,446.92407227596505,444.3454323993429,449.5027121525872,1.315632590113335,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),2,361.98823588427763,360.8193897080847,363.15708206047054,0.5963500898943342,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),3,378.0126045518123,377.01674173776286,379.0084673658617,0.5080932724741956,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),4,394.2466196462278,393.47961427255234,395.0136250199033,0.3913292722834237,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),5,398.8379588588883,397.9878755892753,399.68804212850137,0.43371595388420087,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),6,402.6116346656658,401.89915486361605,403.32411446771556,0.36351010308660514,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),7,405.28512739716746,404.5446160623779,406.02563873195703,0.3778119055048884,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),8,410.1581886055234,409.4176772707338,410.89869994031295,0.3778119055048884,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv,negative,Early positions (index <= 3),9,414.1222712772765,413.3387910771954,414.9057514773576,0.3997347959597416,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
