feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,0,3.743697196612546,0.7633010695569842,2.9803961270555615,2.544216656036268,3.416575598074855,0.22254054643841498,13.392598224253687,6.680227251410713e-41,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,1,7.832306834128078,3.382323697133626,4.449983136994452,3.383019886380061,5.516946387608843,0.5443690054155055,8.174571095571235,2.969202045438416e-16,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,2,8.367272400335434,3.8862203376224675,4.481052062712966,3.1867665160932743,5.7753376093326585,0.6603497686835165,6.785876629663187,1.153837207045668e-11,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,3,11.801835383688106,4.233784142732304,7.568051240955802,6.216259720830423,8.91984276108118,0.6896895510843768,10.97312729916931,5.146111314932428e-28,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,4,15.049496664774855,5.0120257987021795,10.037470866072676,8.648011982947722,11.42692974919763,0.7089075934310992,14.159068063429125,1.641566588955604e-45,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,5,17.48296062498458,5.633825891523532,11.84913473346105,10.377464468692173,13.320804998229926,0.7508521759024881,15.7809154900816,4.21036668932996e-56,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,6,18.944508105707797,5.985806576968086,12.958701528739711,11.497683865681376,14.419719191798047,0.7454171750297627,17.384495505114035,1.081346736332323e-67,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,7,19.870835261455387,6.086988927486224,13.783846333969162,12.379617440338553,15.188075227599771,0.7164433130768415,19.239269991610332,1.7363657206902149e-82,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,8,20.419831710763233,6.019580347490743,14.40025136327249,13.077179234294839,15.723323492250142,0.6750368004988021,21.33254268897899,5.664366340313622e-101,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,9,20.603903537574666,5.923323824775899,14.680579712798767,13.398144313412608,15.963015112184927,0.65430377519702,22.436947896836205,1.7162690717931835e-111,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,10,21.136707654614607,5.924228942677565,15.212478711937042,13.951022751689827,16.473934672184257,0.6435999797179668,23.636543181066184,1.6233832251236194e-123,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,11,21.52071210632596,5.8698243446025264,15.650887761723432,14.46486523990103,16.836910283545834,0.6051135315420418,25.864382377699393,1.6765251780623153e-147,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv,12,8.079148452573431,3.940797289345834,4.138351163227597,3.50280004751777,4.773902278937424,0.3242607733213404,12.762416868495274,2.658234653251819e-37,supports_positive_group_greater,normal_approx_from_independent_group_ci,Late sentence positions differ from early positions.,token_weighted_positive_minus_negative
