feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),0,0.009772839640574665,0.009627883783877259,0.00991779549727207,7.395706974357475e-05,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),1,0.01062413834101595,0.010519793131092522,0.010728483550939378,5.323735200174881e-05,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),2,0.012398177943372706,0.012257797846636906,0.012538558040108507,7.162249833459191e-05,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),3,0.014310334956830756,0.01409120071146665,0.014529469202194863,0.00011180318641025861,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),4,0.01684014883098482,0.01657559769107746,0.017104699970892177,0.00013497507138130588,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),5,0.018386424436746554,0.018104439627818585,0.018668409245674523,0.0001438698004734539,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),6,0.019600843196765867,0.019248522966266567,0.019953163427265167,0.00017975521964249945,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),7,0.020518494387890995,0.02011487570541433,0.020922113070367662,0.00020592789922278874,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),8,0.021119046827401313,0.020706912896378167,0.02153118075842446,0.0002102724137873189,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,gpt,gpt2,iso,isoscore,Isotropy,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv,negative,Early positions (index <= 3),9,0.021120056043410954,0.020736733305689745,0.021503378781132163,0.00019557282536796387,29514,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
