feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,0,612.2599737393756,144.02521731415465,468.23475642522095,462.6130919108624,473.8564209395795,2.868196180795176,163.25060313531552,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,1,644.2186752646168,356.54074074854293,287.67793451607383,283.95563197641593,291.40023705573174,1.8991339488050454,151.47848559975654,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,2,651.7323696647813,473.2820025299535,178.45036713482784,176.03999110796593,180.86074316168975,1.2297836871744379,145.10711842733662,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,3,656.8501300997887,533.2349515375205,123.61517856226817,121.99582265994867,125.23453446458767,0.8262019909793352,149.61859195684266,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,4,663.4575286198663,579.5348636499842,83.92266496988202,82.71127892855372,85.13405101121032,0.6180541027185174,135.785305203456,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,5,666.344103471386,616.6999698000387,49.64413367134728,48.70379034783745,50.584476994857106,0.47976700179073034,103.47550683154645,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,6,670.2434740637851,643.0823669092173,27.161107154567844,26.341955762501524,27.980258546634165,0.4179343837073063,64.98892700244949,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,7,672.8289140427187,660.2626061155679,12.566307927150774,11.836308846972027,13.29630700732952,0.37244851029527914,33.73971859140513,1.512916467576016e-249,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,8,675.2859932121663,664.7009569446632,10.585036267503142,9.93265047357994,11.237422061426344,0.3328498948587763,31.801230617766095,6.224378053447705e-222,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,9,678.9890204205735,667.8626043807682,11.126416039805349,10.410019061951889,11.84281301765881,0.3655086621701328,30.44090931729096,1.5803381247424138e-203,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
