feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),0,144.02521731415465,138.64545208221523,149.40498254609406,2.744778179560927,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),1,356.54074074854293,352.96181025139293,360.1196712456929,1.8259849475255017,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),2,473.2820025299535,470.99949239107667,475.56451266883033,1.1645459892228665,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),3,533.2349515375205,531.7272563542883,534.7426467207526,0.7692322363429137,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),4,579.5348636499842,578.4514565674951,580.6182707324733,0.5527587155556554,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),5,616.6999698000387,615.8746837570487,617.5252558430287,0.4210643076479541,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),6,643.0823669092173,642.4069450173971,643.7577888010375,0.3446030060306979,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),7,660.2626061155679,659.6355147085284,660.8896975226074,0.31994459542833453,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),8,664.7009569446632,664.17500179635,665.2269120929764,0.2683444634251016,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_LENGTH/length_bootstrap/length_raw_lpca99_bert-base-uncased.csv,negative,Short tokens (length <= 3),9,667.8626043807682,667.2970485326163,668.4281602289201,0.28854890211833295,95641,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
