feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,0,595.8683818488922,138.39696035773332,457.47142149115894,451.77164029949904,463.17120268281883,2.9080516283979065,157.31200128079826,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,1,529.8802993789144,269.0199342210102,260.8603651579042,257.1221741476444,264.598556168164,1.9072403113570406,136.77372673205335,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,2,546.2648870453706,322.34934476421466,223.91554228115598,220.68491064107437,227.1461739212376,1.6482814490212276,135.84788108494465,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,3,587.9507811686527,465.9292691410129,122.0215120276398,120.07239576647024,123.97062828880937,0.9944470720252864,122.7028722394761,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,4,616.4056017098221,560.1469360219655,56.25866568785659,54.98984762089749,57.52748375481569,0.6473561566117844,86.90527635098182,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,5,628.8933795247933,600.391476875113,28.501902649680346,27.38101032097191,29.622794978388782,0.5718838411777732,49.83862210721281,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,6,637.2164619827591,624.4214130241231,12.795048958636016,11.88398922308303,13.706108694189002,0.46482639569029854,27.526511138926406,8.45743903393124e-167,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,7,644.7054452406408,638.523949572219,6.181495668421803,5.355509136834843,7.007482200008764,0.42142169978926564,14.668194996871058,1.0305002338648494e-48,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,8,653.1875962273512,646.8770351865044,6.310561040846778,5.523578771392909,7.097543310300647,0.4015215660478924,15.716617921574034,1.1637208370177802e-55,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,9,660.6855134789071,649.035818431742,11.649695047165096,10.790492073859737,12.508898020470456,0.43836886393130614,26.575096923376936,1.3173527975356384e-155,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
