feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),0,138.39696035773332,132.96124788694644,143.8326728285202,2.7733226891769847,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),1,269.0199342210102,265.45094935103384,272.58891909098656,1.8209106479471195,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),2,322.34934476421466,319.26688439341126,325.43180513501807,1.5726838626548092,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),3,465.9292691410129,464.1152095372265,467.7433287447993,0.9255406141767417,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),4,560.1469360219655,559.0347256978304,561.2591463461007,0.5674542470077084,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),5,600.391476875113,599.3804854630976,601.4024682871284,0.515811944905851,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),6,624.4214130241231,623.6887557629474,625.1540702852989,0.37380472508966467,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),7,638.523949572219,637.8445347818998,639.2033643625381,0.34664019914241184,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),8,646.8770351865044,646.2907879956518,647.4632823773569,0.2991057096186503,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_lpca99_gpt2.csv,negative,Short tokens (length <= 3),9,649.035818431742,648.3136284550205,649.7580084084634,0.3684642738374564,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
