feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,0,11.584360049179468,0.3709071234485787,11.21345292573089,10.570454415300166,11.856451436161613,0.3280604645054714,34.1810554424301,4.623681412488238e-256,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,1,8.244621524294649,5.109820698670806,3.1348008256238433,2.603821735277518,3.6657799159701687,0.27090769915628854,11.571471890192958,5.748788686435209e-31,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,2,7.744387775372796,6.033082391659933,1.7113053837128627,1.1828325836403235,2.239778183785402,0.26962897962884647,6.346889663227348,2.1971158894414294e-10,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,3,9.163597642408373,7.642588704940648,1.521008937467725,0.8956036866679385,2.1464141882675114,0.3190843116325441,4.766793233066599,1.8718122914902364e-06,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,4,10.944604289775599,9.00321778814877,1.9413865016268286,1.2836100471892906,2.5991629560643665,0.3356002318558867,5.784818713893195,7.25905709402461e-09,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,5,12.439207684665957,10.349099428017393,2.0901082566485645,1.4533952370932792,2.7268212762038497,0.3248535814057577,6.434000966231981,1.2428806816598686e-10,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,6,13.43602384255972,10.954859496411284,2.481164346148436,1.8840564100942951,3.0782722822025765,0.30464690615007184,8.144393709766387,3.811870327997831e-16,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,7,14.145226239363673,11.794422073250368,2.3508041661133046,1.7714320166372348,2.9301763155893745,0.2955980354469744,7.952705648258619,1.8248156290023686e-15,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,8,15.007842362986858,12.139948729543612,2.8678936334432468,2.2762873763896523,3.4594998904968413,0.30183992706816043,9.501372668949887,2.0714153000493777e-21,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,9,16.610980073342425,12.680057315863813,3.930922757478612,3.3078542824799326,4.5539912324772915,0.3178920790809589,12.365588877971092,4.0125982209927834e-35,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,10,18.302861169226993,13.27631287673253,5.026548292494464,4.396443325873502,5.656653259115426,0.3214821258270215,15.635545147536686,4.168917488688544e-55,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,11,20.076845915126803,14.004792409123464,6.072053506003339,5.5551861650381325,6.588920846968546,0.26370782702306483,23.025685564775653,2.578167758011625e-117,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,12,9.006855580464691,7.704830526059938,1.3020250544047531,1.1841372862191106,1.4199128225903956,0.06014682050287888,21.647446091392855,6.42429565643417e-104,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
