feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),0,0.3709071234485787,0.33000066478983253,0.4118135821073248,0.020870642172829676,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),1,5.109820698670806,4.9194957198039235,5.300145677537688,0.09710458105453178,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),2,6.033082391659933,5.801558430643805,6.264606352676061,0.11812446990618801,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),3,7.642588704940648,7.35280503128932,7.932372378591976,0.14784881308741255,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),4,9.00321778814877,8.692465895496808,9.313969680800733,0.15854688400610384,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),5,10.349099428017393,10.033022501536935,10.66517635449785,0.16126373800023328,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),6,10.954859496411284,10.6358016222074,11.27391737061517,0.16278462969586,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),7,11.794422073250368,11.476651865412855,12.112192281087882,0.16212765705995594,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),8,12.139948729543612,11.809604448334873,12.47029301075235,0.168543000616703,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_gride_gpt2.csv,negative,Short tokens (length <= 3),9,12.680057315863813,12.306289277396132,13.053825354331494,0.19069797881004089,89766,"1,2,3",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
