feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,0,0.009179359947757235,0.004903094336003482,0.004276265611753753,0.004200286255422786,0.00435224496808472,3.876497771988102e-05,110.31260336725606,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,1,0.01865346964324673,0.009000949040552816,0.009652520602693913,0.009428194489698035,0.009876846715689792,0.00011445209846728464,84.33677260581658,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,2,0.029272841658711485,0.009843505526451714,0.01942933613225977,0.019053935024020533,0.01980473724049901,0.00019153117767308086,101.44215875612248,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,3,0.03218264756500632,0.011816211665358754,0.020366435899647567,0.019965585239383275,0.02076728655991186,0.00020451564299198616,99.5837560476761,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,4,0.03533030664256227,0.014303440839295994,0.02102686580326628,0.02061288941825419,0.021440842188278367,0.00021121244133269758,99.55315922959852,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,5,0.03518734428897852,0.01608401753146226,0.01910332675751626,0.01868876595172731,0.019517887563305206,0.0002115106151984434,90.31852486265592,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,6,0.035083892017791246,0.017515683270500428,0.017568208747290818,0.017129413048866518,0.018007004445715118,0.0002238753563389278,78.47316933219787,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,7,0.03434080592560586,0.018446590345030944,0.015894215580574914,0.01550680145532567,0.01628162970582416,0.0001976602679843081,80.41178807789903,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,8,0.03168621879736055,0.019273527046915782,0.012412691750444765,0.012034205125607477,0.012791178375282054,0.00019310542083535113,64.27935423432928,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,9,0.035132333373646976,0.02027714284034757,0.014855190533299405,0.014336125288937194,0.015374255777661617,0.0002648292063072509,56.09347526444887,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,10,0.03124035425256573,0.020049635438305367,0.011190718814260363,0.010756546189965065,0.01162489143855566,0.0002215166450486213,50.51863624877526,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_LENGTH_no_index/length_bootstrap/length_raw_iso_gpt2.csv,11,0.018637082896593236,0.01374641104901133,0.004890671847581907,0.004606772155925443,0.00517457153923837,0.0001448467814573795,33.76444956784189,6.561182702533463e-250,supports_positive_group_greater,normal_approx_from_independent_group_ci,Long tokens have higher geometry scores than short tokens.,token_weighted_positive_minus_negative
