feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,0,0.5738308374753314,0.5069486072139421,0.6407130677367207,0.034123586868055764,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,1,7.130408314889595,6.907139544874001,7.35367708490519,0.11391263776305816,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,2,9.02184269916459,8.790818065588766,9.252867332740415,0.11786971100807386,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,3,9.29375276083185,9.116031852088671,9.47147366957503,0.09067393303223407,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,4,9.995802252418095,9.848327400175208,10.143277104660982,0.07524227155249319,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,5,11.494524184040225,11.368113078710211,11.62093528937024,0.06449546190306804,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,6,12.581741725624365,12.463259954745965,12.700223496502765,0.0604498831012242,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,7,13.796447775856645,13.680904621432415,13.911990930280876,0.058950588991954274,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,8,14.652531087197703,14.53063396402692,14.774428210368486,0.06219240978101145,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,9,16.36478230645543,16.234419053144897,16.495145559765966,0.06651186393394584,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,10,17.674105373659394,17.512350553077273,17.835860194241516,0.08252796968475638,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,11,18.742688282728825,18.599244611418072,18.886131954039577,0.07318554658711812,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,negative,Closed classes,12,19.310572086983218,19.15882763283546,19.462316541130974,0.07742063987130432,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,positive,Open classes,0,12.796252566047155,10.03649107238744,15.55601405970687,1.4080415783978135,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,positive,Open classes,1,12.229427375088427,10.410963491336728,14.047891258840126,0.9277876957916832,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
