feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,0,0.04777600670763974,0.007460566493892672,0.04031544021374707,0.03966150143101949,0.04096937899647465,0.00033364223608549907,120.83434245841659,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,1,0.04861741604226526,0.008765585165258926,0.03985183087700633,0.03898726283454427,0.0407163989194684,0.0004411061441132981,90.34521828553446,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,2,0.04798874454257793,0.009976687212645042,0.03801205732993289,0.03721963852571562,0.038804476134150154,0.000404295308274114,94.02052547233752,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,3,0.04698555679639609,0.011399713076551044,0.03558584371984505,0.03498896048989419,0.036182726949795914,0.00030453226017901363,116.85410175896168,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,4,0.0458034140724109,0.012712854679294314,0.033090559393116586,0.03257617530350996,0.033604943482723214,0.000262440862044197,126.08767985049481,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,5,0.04617241098203896,0.014692569065751754,0.03147984191628721,0.031046823740148163,0.03191286009242625,0.00022092764088726692,142.48937701892393,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,6,0.04563843029116345,0.017673432892803233,0.027964997398360215,0.02753701190288976,0.02839298289383067,0.00021835994666859885,128.06834689698022,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,7,0.04448829873639901,0.019723037918586837,0.02476526081781217,0.02437584355723672,0.02515467807838762,0.00019868227580380137,124.64755961557361,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,8,0.042377659938416634,0.021807809104303893,0.02056985083411274,0.02022211531277529,0.020917586355450192,0.00017741608231502606,115.94129779953212,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,9,0.04094381573379176,0.022522845048913904,0.018420970684877854,0.018066275600792676,0.018775665768963033,0.0001809668796352955,101.79194514488968,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
