feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,0,321.6658618916683,35.44715370147355,286.2187081901948,286.2187081901948,286.2187081901948,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,1,306.76594460465424,67.36454541764205,239.4013991870122,239.4013991870122,239.4013991870122,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,2,195.8564706145351,9.811266119102065,186.04520449543304,186.04520449543304,186.04520449543304,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,3,43.12420360807458,1.0,42.12420360807458,42.12420360807458,42.12420360807458,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,4,50.64105917331724,1.0,49.64105917331724,49.64105917331724,49.64105917331724,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,5,56.51398296559587,1.0,55.51398296559587,55.51398296559587,55.51398296559587,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,6,65.17276954373729,1.3119223847475747,63.86084715898971,63.86084715898971,63.86084715898971,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,7,77.04153533185792,1.9357671542427237,75.10576817761519,75.10576817761519,75.10576817761519,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,8,94.51551427357879,5.606714206459818,88.90880006711897,88.90880006711897,88.90880006711897,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,9,117.9675072094427,15.492984046655751,102.47452316278695,102.47452316278695,102.47452316278695,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
