feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,0,0.007683052819873086,0.0029147168931529296,0.004768335926720157,0.004768335926720157,0.004768335926720157,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,1,0.006031524248401164,0.0020049844352149904,0.004026539813186174,0.004026539813186174,0.004026539813186174,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,2,0.0015765640049233195,0.0013409621505822797,0.00023560185434103975,0.00023560185434103975,0.00023560185434103975,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,3,0.0013232592126266752,0.001305334335688141,1.7924876938534267e-05,1.7924876938534267e-05,1.7924876938534267e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,4,0.001325874469665741,0.0013061943016500661,1.9680168015674942e-05,1.9680168015674942e-05,1.9680168015674942e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,5,0.0013282689756634483,0.0013071459883303852,2.1122987333063118e-05,2.1122987333063118e-05,2.1122987333063118e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,6,0.0013320297558830742,0.001308506838133792,2.3522917749282165e-05,2.3522917749282165e-05,2.3522917749282165e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,7,0.0013379590022061486,0.0013105318477322021,2.7427154473946445e-05,2.7427154473946445e-05,2.7427154473946445e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,8,0.0013477961415416157,0.0013137022194023933,3.409392213922242e-05,3.409392213922242e-05,3.409392213922242e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,9,0.0013618192022815292,0.0013193379037624707,4.248129851905846e-05,4.248129851905846e-05,4.248129851905846e-05,0.0,,,observed_positive_group_greater_no_ci,no_source_uncertainty,Open-class POS have higher geometry scores than closed-class POS.,token_weighted_positive_minus_negative
