feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,0,0.0029147168931529296,0.0029147168931529296,0.0029147168931529296,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,1,0.0020049844352149904,0.0020049844352149904,0.0020049844352149904,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,2,0.0013409621505822797,0.0013409621505822797,0.0013409621505822797,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,3,0.001305334335688141,0.001305334335688141,0.001305334335688141,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,4,0.0013061943016500661,0.0013061943016500661,0.0013061943016500661,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,5,0.0013071459883303852,0.0013071459883303852,0.0013071459883303852,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,6,0.001308506838133792,0.001308506838133792,0.001308506838133792,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,7,0.0013105318477322021,0.0013105318477322021,0.0013105318477322021,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,8,0.0013137022194023933,0.0013137022194023933,0.0013137022194023933,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,negative,Closed classes,9,0.0013193379037624707,0.0013193379037624707,0.0013193379037624707,0.0,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,no_source_uncertainty,token_weighted_mean_of_feature_groups
