feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,0,561.2784828601865,57.757957621581255,503.5205252386053,500.1152513298704,506.9257991473402,1.737384647313733,289.8152265919503,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,1,609.9254434336191,296.9648202761816,312.96062315743745,310.6365179249244,315.2847283899505,1.185767975771942,263.930743241483,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,2,628.6857539911572,413.05902524627834,215.62672874487885,213.8825751922417,217.370882297516,0.8898742615495724,242.31145686740024,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,3,636.5516168104856,479.60163224917403,156.94998456131157,155.6353470565871,158.26462206603603,0.6707334207777923,233.99756102701735,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,4,645.8326961401018,535.5268882054258,110.30580793467595,109.21587181879516,111.39574405055674,0.5560898550412195,198.35968402354627,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,5,652.3763506363217,588.3758449947914,64.00050564153037,63.093670968928244,64.9073403141325,0.4626707513276153,138.32840190974568,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,6,659.4694534477677,620.6716131559701,38.79784029179757,37.912051319190155,39.683629264404985,0.45193314928949707,85.84862684402167,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,7,664.3345081757695,642.3295153762635,22.004992799506,21.356170379358712,22.653815219653286,0.33103184701392235,66.47394502372615,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,8,666.5528170444303,650.6752713304113,15.877545714018993,15.257499015069914,16.49759241296807,0.3163503566066725,50.18975127554543,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_REL/relation_bootstrap/relation_raw_lpca99_bert-base-uncased.csv,9,671.6250211583064,660.0031709149065,11.621850243399876,11.123092876374084,12.120607610425669,0.25446804440091436,45.671157927750066,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
