feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,0,0.007975413665783224,0.007847595037988975,0.008103232293577473,6.521358560931037e-05,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,1,0.008937245509297208,0.008793685468542981,0.009080805550051436,7.324491875215707e-05,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,2,0.01008844626032058,0.0099195906970212,0.01025730182361996,8.615079760172454e-05,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,3,0.011708890061735418,0.011529066971481695,0.011888713151989142,9.174647461924665e-05,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,4,0.012973760692509018,0.012791830233510193,0.013155691151507843,9.282166275450298e-05,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,5,0.016246417477984686,0.016014358332072345,0.016478476623897027,0.00011839752342466295,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,6,0.020705314484726234,0.020422808728935617,0.02098782024051685,0.00014413558968908924,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,7,0.02272744850413795,0.022377422998152468,0.023077474010123434,0.00017858444182932863,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,8,0.02719158006158493,0.02683726976191955,0.027545890361250314,0.00018077056105376624,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,bert,bert-base-uncased,iso,isoscore,Isotropy,bert/tables_REL/relation_bootstrap/relation_raw_iso_bert-base-uncased.csv,negative,Function relations,9,0.028365336567999826,0.027969383799568773,0.02876128933643088,0.00020201671858727216,32139,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
