feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,0,51.259643409842226,48.39859692247131,54.12068989721314,1.4597175955974047,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,1,198.4912087432162,195.5199540751804,201.46246341125197,1.5159462592019346,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,2,241.18347567448637,237.95750073986886,244.40945060910389,1.6459055788864794,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,3,416.44262591109066,414.4179796786193,418.467272143562,1.0329827716690663,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,4,531.165748171863,529.8399120658131,532.4915842779129,0.6764469928826222,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,5,579.7148516714648,578.6349647996716,580.794738543258,0.5509626896904158,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,6,607.342981423542,606.2390066074848,608.4469562395992,0.5632524571720176,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,7,623.9183933288866,622.9974511616904,624.8393354960829,0.4698684526511505,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,8,632.746738919536,631.8661998477312,633.6272779913409,0.4492546284718733,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,9,632.214444408383,631.3459098572562,633.0829789595098,0.44312987302389606,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,10,634.1387999810959,633.2178578138996,635.0597421482921,0.4698684526511505,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,11,637.768498391596,637.1911049651792,638.3458918180129,0.29458848286573175,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_lpca99_gpt2.csv,negative,Function relations,12,249.79279834833233,240.50627709554212,259.07931960112256,4.738021047341947,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
