feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,0,0.008099058171275274,0.003485752036840828,0.004613306134434446,0.004558669206090891,0.0046679430627780015,2.7875983848752708e-05,165.49393052689925,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,1,0.017547179897798165,0.007129843539304347,0.010417336358493817,0.010242195710028776,0.010592477006958858,8.935747370665374e-05,116.5804708478248,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,2,0.021090790106245455,0.008793117972450389,0.012297672133795066,0.012034095302647655,0.012561248964942477,0.0001344779750752095,91.4474814698641,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,3,0.021975305571613854,0.01043076153935218,0.011544544032261675,0.011288746098610507,0.011800341965912842,0.00013050914982202383,88.45773685603687,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,4,0.023436884431251817,0.013254174802414843,0.010182709628836974,0.009906307078599992,0.010459112179073955,0.00014102170930458215,72.20668136169097,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,5,0.024276760379588546,0.01587395648696997,0.008402803892618577,0.008100884917105788,0.008704722868131365,0.00015404029362897352,54.549388959604585,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,6,0.025091513172246265,0.018494071156496865,0.0065974420157494,0.006258503363940737,0.006936380667558063,0.00017292788357584836,38.151406698131936,1.80237e-318,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,7,0.02519861045742838,0.019720910149136215,0.005477700308292165,0.00512171770835527,0.005833682908229059,0.0001816237754780077,30.159599390969845,8.027795014158714e-200,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,8,0.024513876812598603,0.020545429550019534,0.0039684472625790695,0.0036211859966395555,0.004315708528518584,0.00017717411527526237,22.398572480035163,4.06392301607394e-111,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,9,0.02552703415572057,0.02056095010212466,0.004966084053595908,0.004676099388373225,0.0052560687188185915,0.00014795135980749148,33.565653334025335,5.3217159654447205e-247,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,10,0.025911965592432428,0.02211455921967515,0.0037974063727572796,0.0034749527129109984,0.004119860032603561,0.00016451717339095983,23.082127503692853,7.000753253914863e-118,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,11,0.017315169225737947,0.0137183875721176,0.0035967816536203474,0.0033633906920393416,0.003830172615201353,0.00011907702121479886,30.2055057888309,2.0053527725035705e-200,supports_positive_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,12,0.0017714190630542946,0.002119258669154459,-0.0003478396061001644,-0.000373990395662499,-0.00032168881653782974,1.3342239572619708e-05,-26.07055616164949,7.867582417308735e-150,supports_negative_group_greater,normal_approx_from_independent_group_ci,Content-bearing dependency relations have higher geometry scores than function relations.,token_weighted_positive_minus_negative
