feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,0,0.003485752036840828,0.003459800171733757,0.0035117039019478993,1.3240747503607695e-05,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,1,0.007129843539304347,0.007047025745051388,0.007212661333557306,4.225397665967308e-05,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,2,0.008793117972450389,0.00863873213944446,0.008947503805456317,7.876828214588184e-05,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,3,0.01043076153935218,0.010266349391008735,0.010595173687695624,8.388374915481847e-05,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,4,0.013254174802414843,0.013055184652183706,0.013453164952645981,0.00010152558685262172,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,5,0.01587395648696997,0.015645674995498116,0.016102237978441823,0.00011647014871012953,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,6,0.018494071156496865,0.018227237633078652,0.018760904679915077,0.00013613955276439355,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,7,0.019720910149136215,0.01943126302386845,0.02001055727440398,0.0001477791455447774,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,8,0.020545429550019534,0.020264499104686723,0.020826359995352345,0.0001433318598636799,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
relation_type,Relation Type,5,content_function,Content relations,Function relations,content_relation,function_relation,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_REL_GPT2_no_idx0/relation_bootstrap/relation_raw_iso_gpt2.csv,negative,Function relations,9,0.02056095010212466,0.020360575336784086,0.020761324867465236,0.00010223202313294576,30458,"case,det",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
