direction,metric,layer,mean,ci_low,ci_high,n_tokens,sample_size_per_bootstrap,n_bootstrap
Before Head,iso,0,0.13481883704662323,0.1240827813744545,0.14554595947265625,979,979,50
Before Head,iso,1,0.13148677349090576,0.11956052482128143,0.14254337549209595,979,979,50
Before Head,iso,2,0.13229511678218842,0.11952026188373566,0.1429099142551422,979,979,50
Before Head,iso,3,0.1212085634469986,0.10966553539037704,0.13058005273342133,979,979,50
Before Head,iso,4,0.1207345500588417,0.11057553440332413,0.1290019303560257,979,979,50
Before Head,iso,5,0.12372710555791855,0.11415934562683105,0.1313944160938263,979,979,50
Before Head,iso,6,0.12085767835378647,0.11191169917583466,0.1282305121421814,979,979,50
Before Head,iso,7,0.12223562598228455,0.11345688253641129,0.1299370378255844,979,979,50
Before Head,iso,8,0.11842019110918045,0.11029141396284103,0.12525169551372528,979,979,50
Before Head,iso,9,0.12643353641033173,0.11866496503353119,0.13324694335460663,979,979,50
Before Head,iso,10,0.1324378252029419,0.12599287927150726,0.1372402161359787,979,979,50
Before Head,iso,11,0.1341438591480255,0.1285589188337326,0.13873447477817535,979,979,50
Before Head,iso,12,0.12836001813411713,0.12270977348089218,0.1342610865831375,979,979,50
After Head,iso,0,0.13398630917072296,0.11942293494939804,0.147468701004982,979,979,50
After Head,iso,1,0.13302695751190186,0.11961037665605545,0.1469467431306839,979,979,50
After Head,iso,2,0.1317078024148941,0.11923579126596451,0.14472182095050812,979,979,50
After Head,iso,3,0.13190527260303497,0.12029436975717545,0.1435704231262207,979,979,50
After Head,iso,4,0.13007856905460358,0.12015800923109055,0.14056481420993805,979,979,50
After Head,iso,5,0.1313161700963974,0.1217421218752861,0.14069141447544098,979,979,50
After Head,iso,6,0.1298237442970276,0.1209111362695694,0.13902421295642853,979,979,50
After Head,iso,7,0.13373932242393494,0.12564142048358917,0.14238934218883514,979,979,50
After Head,iso,8,0.12692788243293762,0.11797113716602325,0.13638931512832642,979,979,50
After Head,iso,9,0.13657592236995697,0.12857452034950256,0.14524655044078827,979,979,50
After Head,iso,10,0.13954973220825195,0.1327826827764511,0.14667756855487823,979,979,50
After Head,iso,11,0.1410445123910904,0.1344897300004959,0.14779093861579895,979,979,50
After Head,iso,12,0.1434953510761261,0.13816119730472565,0.14893463253974915,979,979,50
Before Head,lpca99,0,341.9200134277344,329.45001220703125,352.0,979,979,50
Before Head,lpca99,1,381.70001220703125,372.0,391.0,979,979,50
Before Head,lpca99,2,397.4599914550781,389.45001220703125,406.7749938964844,979,979,50
Before Head,lpca99,3,403.6400146484375,397.0,412.0,979,979,50
Before Head,lpca99,4,410.8599853515625,404.2250061035156,419.0,979,979,50
Before Head,lpca99,5,416.3999938964844,409.45001220703125,424.7749938964844,979,979,50
Before Head,lpca99,6,421.3599853515625,415.2250061035156,431.0,979,979,50
Before Head,lpca99,7,424.6199951171875,417.2250061035156,434.54998779296875,979,979,50
Before Head,lpca99,8,427.5,420.2250061035156,438.32501220703125,979,979,50
Before Head,lpca99,9,431.9200134277344,425.2250061035156,442.54998779296875,979,979,50
Before Head,lpca99,10,435.55999755859375,429.0,445.54998779296875,979,979,50
Before Head,lpca99,11,436.6600036621094,429.45001220703125,447.32501220703125,979,979,50
Before Head,lpca99,12,437.4200134277344,430.2250061035156,448.32501220703125,979,979,50
After Head,lpca99,0,340.8599853515625,329.45001220703125,353.0,979,979,50
After Head,lpca99,1,380.28570556640625,369.3999938964844,391.79998779296875,979,979,50
After Head,lpca99,2,395.4800109863281,384.67498779296875,406.7749938964844,979,979,50
After Head,lpca99,3,402.94000244140625,391.45001220703125,414.7749938964844,979,979,50
After Head,lpca99,4,411.3265380859375,401.20001220703125,422.79998779296875,979,979,50
After Head,lpca99,5,415.1600036621094,405.2250061035156,426.7749938964844,979,979,50
After Head,lpca99,6,420.239990234375,410.45001220703125,432.0,979,979,50
After Head,lpca99,7,423.7799987792969,413.45001220703125,435.7749938964844,979,979,50
After Head,lpca99,8,425.239990234375,415.45001220703125,436.7749938964844,979,979,50
After Head,lpca99,9,430.5400085449219,421.2250061035156,441.7749938964844,979,979,50
After Head,lpca99,10,433.3399963378906,424.2250061035156,445.0,979,979,50
After Head,lpca99,11,434.7200012207031,426.2250061035156,446.7749938964844,979,979,50
After Head,lpca99,12,434.94000244140625,426.2250061035156,447.0,979,979,50
Before Head,gride,0,14.374074935913086,10.670648574829102,23.692380905151367,979,979,20
Before Head,gride,1,15.104321479797363,12.072894096374512,21.915176391601562,979,979,20
Before Head,gride,2,16.198633193969727,13.402685165405273,21.06418800354004,979,979,20
Before Head,gride,3,16.692096710205078,14.722284317016602,19.373737335205078,979,979,20
Before Head,gride,4,17.27691078186035,15.639312744140625,18.538753509521484,979,979,20
Before Head,gride,5,17.93939208984375,16.715309143066406,19.112497329711914,979,979,20
Before Head,gride,6,18.79819679260254,17.834991455078125,20.175809860229492,979,979,20
Before Head,gride,7,19.108280181884766,18.190717697143555,20.177574157714844,979,979,20
Before Head,gride,8,18.988697052001953,17.894573211669922,20.25315284729004,979,979,20
Before Head,gride,9,20.078716278076172,18.834489822387695,21.421558380126953,979,979,20
Before Head,gride,10,21.231979370117188,19.899944305419922,22.42257308959961,979,979,20
Before Head,gride,11,22.129074096679688,20.744388580322266,23.54155921936035,979,979,20
Before Head,gride,12,24.16229820251465,22.668493270874023,25.304153442382812,979,979,20
After Head,gride,0,21.594255447387695,11.633805274963379,25.894733428955078,979,979,20
After Head,gride,1,20.56209945678711,11.8936767578125,25.843460083007812,979,979,20
After Head,gride,2,19.37709617614746,12.671072006225586,23.357297897338867,979,979,20
After Head,gride,3,18.952930450439453,14.262351036071777,22.620445251464844,979,979,20
After Head,gride,4,18.445680618286133,15.45081901550293,21.18575096130371,979,979,20
After Head,gride,5,18.426834106445312,16.096010208129883,20.747156143188477,979,979,20
After Head,gride,6,18.907651901245117,16.963382720947266,21.07939910888672,979,979,20
After Head,gride,7,19.13423728942871,17.220012664794922,21.12692642211914,979,979,20
After Head,gride,8,19.521644592285156,18.040882110595703,21.060636520385742,979,979,20
After Head,gride,9,20.49930191040039,19.023704528808594,22.056108474731445,979,979,20
After Head,gride,10,21.545291900634766,20.14271354675293,23.03176498413086,979,979,20
After Head,gride,11,22.531099319458008,21.104650497436523,24.036922454833984,979,979,20
After Head,gride,12,23.736743927001953,22.545284271240234,25.420133590698242,979,979,20
