direction,metric,layer,mean,ci_low,ci_high,n_tokens,sample_size_per_bootstrap,n_bootstrap
Before Head,iso,0,0.03621666133403778,0.03382871299982071,0.03932539373636246,979,979,50
Before Head,iso,1,0.0828271210193634,0.07758472859859467,0.087894968688488,979,979,50
Before Head,iso,2,0.0886119082570076,0.0823454037308693,0.09389010816812515,979,979,50
Before Head,iso,3,0.08834768086671829,0.08188323676586151,0.09387263655662537,979,979,50
Before Head,iso,4,0.09147243201732635,0.08409212529659271,0.09607738256454468,979,979,50
Before Head,iso,5,0.09192060679197311,0.08468127250671387,0.09718865156173706,979,979,50
Before Head,iso,6,0.09146236628293991,0.0844622328877449,0.09622196108102798,979,979,50
Before Head,iso,7,0.0887003019452095,0.0811648964881897,0.09467508643865585,979,979,50
Before Head,iso,8,0.08138105273246765,0.07290566712617874,0.08720522373914719,979,979,50
Before Head,iso,9,0.07610464096069336,0.06671766936779022,0.08246713876724243,979,979,50
Before Head,iso,10,0.08187027275562286,0.07296744734048843,0.08770451694726944,979,979,50
Before Head,iso,11,0.06700530648231506,0.062107428908348083,0.07126110047101974,979,979,50
Before Head,iso,12,0.0006440121796913445,0.0005719623877666891,0.0007195437210611999,979,979,50
After Head,iso,0,0.05170269310474396,0.04892013221979141,0.05478426441550255,979,979,50
After Head,iso,1,0.09214606136083603,0.08602849394083023,0.09762995690107346,979,979,50
After Head,iso,2,0.09607015550136566,0.08865610510110855,0.1025930866599083,979,979,50
After Head,iso,3,0.09625042974948883,0.08879389613866806,0.10289451479911804,979,979,50
After Head,iso,4,0.09990694373846054,0.09278286248445511,0.10772984474897385,979,979,50
After Head,iso,5,0.09982401132583618,0.0929071381688118,0.10791969299316406,979,979,50
After Head,iso,6,0.10301923751831055,0.09660419821739197,0.10933951288461685,979,979,50
After Head,iso,7,0.10065178573131561,0.09434952586889267,0.10590723901987076,979,979,50
After Head,iso,8,0.09778747707605362,0.09211569279432297,0.1031399518251419,979,979,50
After Head,iso,9,0.09978634864091873,0.09429949522018433,0.10494078695774078,979,979,50
After Head,iso,10,0.0995756983757019,0.09533566236495972,0.10436292737722397,979,979,50
After Head,iso,11,0.08680720627307892,0.08251415193080902,0.0911131277680397,979,979,50
After Head,iso,12,0.0009679392678663135,0.0008611739031039178,0.0011136089451611042,979,979,50
Before Head,lpca99,0,326.0400085449219,313.2250061035156,335.0,979,979,50
Before Head,lpca99,1,327.0400085449219,317.45001220703125,334.7749938964844,979,979,50
Before Head,lpca99,2,336.760009765625,328.2250061035156,344.0,979,979,50
Before Head,lpca99,3,363.239990234375,355.45001220703125,370.7749938964844,979,979,50
Before Head,lpca99,4,385.0400085449219,377.67498779296875,393.0,979,979,50
Before Head,lpca99,5,394.6199951171875,387.45001220703125,402.7749938964844,979,979,50
Before Head,lpca99,6,399.6400146484375,393.0,407.7749938964844,979,979,50
Before Head,lpca99,7,403.82000732421875,397.2250061035156,412.0,979,979,50
Before Head,lpca99,8,406.0400085449219,399.0,414.7749938964844,979,979,50
Before Head,lpca99,9,410.239990234375,404.0,419.0,979,979,50
Before Head,lpca99,10,411.8999938964844,405.0,421.0,979,979,50
Before Head,lpca99,11,408.20001220703125,402.0,418.0,979,979,50
Before Head,lpca99,12,88.36000061035156,78.44999694824219,99.0999984741211,979,979,50
After Head,lpca99,0,331.7799987792969,320.2250061035156,343.54998779296875,979,979,50
After Head,lpca99,1,327.20001220703125,319.2250061035156,336.7749938964844,979,979,50
After Head,lpca99,2,335.79998779296875,327.2250061035156,344.7749938964844,979,979,50
After Head,lpca99,3,362.5400085449219,354.45001220703125,373.0,979,979,50
After Head,lpca99,4,383.3599853515625,376.0,394.0,979,979,50
After Head,lpca99,5,393.8599853515625,386.2250061035156,405.0,979,979,50
After Head,lpca99,6,399.4599914550781,392.2250061035156,410.7749938964844,979,979,50
After Head,lpca99,7,402.82000732421875,396.0,414.0,979,979,50
After Head,lpca99,8,406.5400085449219,399.2250061035156,417.7749938964844,979,979,50
After Head,lpca99,9,411.5,404.2250061035156,423.0,979,979,50
After Head,lpca99,10,413.2040710449219,406.0,425.0,979,979,50
After Head,lpca99,11,409.2200012207031,402.2250061035156,420.0,979,979,50
After Head,lpca99,12,122.9000015258789,112.44999694824219,133.5500030517578,979,979,50
Before Head,gride,0,16.789831161499023,13.565961837768555,19.090593338012695,979,979,20
Before Head,gride,1,13.541404724121094,10.466863632202148,16.123516082763672,979,979,20
Before Head,gride,2,12.67921257019043,10.333258628845215,15.459752082824707,979,979,20
Before Head,gride,3,14.705961227416992,13.471264839172363,16.13505744934082,979,979,20
Before Head,gride,4,16.252328872680664,15.500807762145996,16.838441848754883,979,979,20
Before Head,gride,5,16.74066925048828,15.962449073791504,17.514915466308594,979,979,20
Before Head,gride,6,16.928396224975586,16.15860939025879,17.821775436401367,979,979,20
Before Head,gride,7,16.533832550048828,15.954915046691895,17.47085189819336,979,979,20
Before Head,gride,8,16.018577575683594,15.36319637298584,17.023258209228516,979,979,20
Before Head,gride,9,15.782218933105469,14.897833824157715,17.22403907775879,979,979,20
Before Head,gride,10,15.565553665161133,14.728425979614258,17.320011138916016,979,979,20
Before Head,gride,11,15.067848205566406,14.110665321350098,17.088516235351562,979,979,20
Before Head,gride,12,5.281025409698486,5.079884052276611,5.491486072540283,979,979,20
After Head,gride,0,18.832311630249023,14.968393325805664,20.319801330566406,979,979,20
After Head,gride,1,16.442455291748047,11.733440399169922,19.010595321655273,979,979,20
After Head,gride,2,15.273344039916992,10.893172264099121,18.199172973632812,979,979,20
After Head,gride,3,15.348164558410645,12.091337203979492,17.4287109375,979,979,20
