model,metric,class_group,layer,mean,ci_low,ci_high,n_tokens,head_dist_members,aggregation,source_csv
bert-base-uncased,lpca99,Negative head dist,0,630.4830322283057,627.2305338937359,633.5381733402552,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,1,655.833626145898,653.4761892650821,657.7193053729443,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,2,661.6604491479785,659.9356669677207,663.1146596288039,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,3,665.7259831824207,664.31469420903,667.087092490254,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,4,670.349232532655,669.0579816483255,671.5793153045162,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,5,674.7085576405177,673.8194337851467,675.8370475538621,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,6,679.3349405392821,678.4051464393323,680.2547072818437,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,7,682.2648431496627,681.6455040054834,683.232355212118,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,8,682.1593497046061,681.1869101163809,683.1160929252161,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,9,684.835855886211,684.0030329842007,685.8845783124642,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,10,680.5146658871975,679.3827424205647,681.6233741494316,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,11,679.3954817150877,678.1823886636613,680.4633223378886,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Negative head dist,12,674.0512937199246,672.82399428419,675.2760789698509,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,0,519.2201559124388,511.54396308104833,527.7465874522982,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,1,591.7649879747546,587.1270402452303,596.7233676735511,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,2,624.8643340877109,621.9759531715275,628.2074891266104,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,3,639.412450139431,637.1550794192486,641.9986501494373,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,4,655.0586079977902,653.4871312299026,656.8094344248924,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,5,669.6046081081116,668.434885427401,671.2339916447319,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,6,681.8843195673376,681.2076032758148,682.7040586926385,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,7,689.3061022426353,688.4608197420782,690.0289078318831,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,8,690.6214772216612,690.0037982574056,691.2599936970005,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,9,691.589627068047,690.7920167884292,692.5182310705884,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,10,689.5853441646825,688.7798402798063,690.341888387608,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,11,691.3296160290071,690.8783219215946,692.0074869107835,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
bert-base-uncased,lpca99,Positive head dist,12,685.9584407772682,685.4947802948666,686.7941189151902,114841,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_lpca99_bert-base-uncased.csv
