model,metric,class_group,layer,mean,ci_low,ci_high,se,n_tokens,pos_members,n_pos_members,ci_method,aggregation
bert-base-uncased,lpca99,Open classes,0,557.6717525892495,555.7232676132404,559.6202375652587,0.9941249877597359,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,1,602.9066655094603,601.5755191380899,604.2378118808306,0.6791563119236177,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,2,618.2988775096916,617.3861541577064,619.2116008616767,0.4656751795842528,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,3,626.104158710872,625.3553186894031,626.8529987323408,0.3820612354432721,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,4,634.7236185847364,634.0180044655896,635.4292327038833,0.36000720364634387,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,5,639.387042180177,638.8073083753675,639.9667759849865,0.29578255347423366,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,6,645.84997685587,645.2118047056764,646.4881490060635,0.32559803581303093,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,7,649.4596308511253,648.9960794933057,649.9231822089449,0.23650579480594233,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,8,651.7329847248741,651.3309077108235,652.1350617389247,0.20514133369929924,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,9,657.0183098999016,656.6594369503574,657.3771828494458,0.18309844364498676,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,10,657.6062908638546,657.2800374762669,657.9325442514423,0.16645580999372642,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,11,660.1914901926749,659.909397999533,660.4735823858168,0.14392458833769192,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Open classes,12,660.2037855117745,659.8498657182461,660.557705305303,0.18057132322881675,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,0,56.104307984697925,54.87166521051122,57.33695075888463,0.6288993745850546,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,1,272.54065834341657,271.4934502596296,273.58786642720355,0.5342898386668289,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,2,382.9539272662829,381.9408105962335,383.9670439363323,0.5168962602292784,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,3,442.8619055476112,441.9235918016067,443.80021929361567,0.47873150306351936,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,4,495.6451068822645,494.84353414705106,496.4466796174779,0.4089656812313499,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,5,543.1877268727312,542.5992168537596,543.7762368917029,0.30026021376103396,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,6,576.1796205649055,575.636636322215,576.7226048075959,0.27703277688283806,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,7,600.1321789559883,599.6282997088082,600.6360582031683,0.2570812485612764,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,8,610.3141003312189,609.8420487083027,610.7861519541351,0.24084266475314928,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,9,620.2565602121756,619.8157644372957,620.6973559870555,0.22489580351013538,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,10,630.2044818440704,629.7780852237041,630.6308784644367,0.2175492961052343,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,11,639.3097920409684,638.9215284061517,639.6980556757852,0.19809369123304488,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,lpca99,Closed classes,12,639.0874338478837,638.6478329009334,639.5270347948341,0.22428619742364042,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
