model,metric,class_group,layer,mean,ci_low,ci_high,se,n_tokens,pos_members,n_pos_members,ci_method,aggregation
bert-base-uncased,iso,Open classes,0,0.04777600670763974,0.04712607964824877,0.048425933767030714,0.0003315954384647837,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,1,0.04861741604226526,0.047756674549051636,0.04947815753547888,0.00043915382306817537,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,2,0.04798874454257793,0.047202088993014396,0.04877540009214146,0.0004013548722262928,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,3,0.04698555679639609,0.04639668971333035,0.047574423879461834,0.0003004423893192568,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,4,0.0458034140724109,0.045301251929134555,0.04630557621568724,0.0002562051751409897,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,5,0.04617241098203896,0.04575623431571614,0.04658858764836178,0.00021233503383817311,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,6,0.04563843029116345,0.04523459700062536,0.046042263581701534,0.00020603739313167525,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,7,0.04448829873639901,0.044128568469486124,0.04484802900331189,0.000183535850465757,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,8,0.042377659938416634,0.04206932212035142,0.042685997756481846,0.00015731521329857734,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,9,0.04094381573379176,0.040636397108337934,0.04125123435924558,0.00015684623747643973,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,10,0.038090668148718476,0.03782395349800225,0.0383573827994347,0.00013607890342664543,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,11,0.034916104165625995,0.03462481808435189,0.0352073902469001,0.00014861534758883087,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Open classes,12,0.03342268146150441,0.03308050587752462,0.033764857045484195,0.0001745793795815261,89466,"ADJ,ADV,NOUN,PROPN,VERB",5,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,0,0.007460566493892672,0.007388242576502742,0.007532890411282601,3.689995785200498e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,1,0.008765585165258926,0.00868433258433335,0.008846837746184501,4.145539843141578e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,2,0.009976687212645042,0.009881290107772764,0.01007208431751732,4.8671992281774105e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,3,0.011399713076551044,0.01130221872451862,0.011497207428583468,4.974201634307364e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,4,0.012712854679294314,0.012601390902664638,0.01282431845592399,5.686927379065111e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,5,0.014692569065751754,0.014572979253162185,0.014812158878341322,6.101521050488191e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,6,0.017673432892803233,0.017531692786318605,0.01781517299928786,7.2316380859504e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,7,0.019723037918586837,0.019573907311732062,0.019872168525441613,7.60870443136614e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,8,0.021807809104303893,0.021647036647861214,0.02196858156074657,8.20267634911632e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,9,0.022522845048913904,0.022345920230422332,0.022699769867405475,9.026776453651551e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,10,0.02458141332953788,0.02438110235446157,0.02478172430461419,0.00010219947707974918,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,11,0.02427884327771498,0.02409272747704419,0.02446495907838577,9.49570411585674e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
bert-base-uncased,iso,Closed classes,12,0.018861448773203972,0.01869140238670578,0.019031495159702164,8.675836045826076e-05,73903,"ADP,AUX,CCONJ,DET,PRON,SCONJ",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
