model,metric,class_group,layer,mean,ci_low,ci_high,n_tokens,head_dist_members,aggregation,source_csv
gpt2,pca99,Negative head dist,0,646.1860626098247,644.5060459606467,647.8236587699382,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,1,574.8028862233637,573.4296755019711,575.8619498488042,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,2,591.494685943516,590.3245390745346,592.6875456319045,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,3,627.4204395351222,626.5713563529122,628.1828385383199,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,4,649.3398469817805,648.8153479272872,650.0405974667638,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,5,657.3009276545392,656.7170172357166,658.1264904539548,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,6,664.9503837903245,664.459780947893,665.6850304873695,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,7,671.5921255317412,671.0561910065829,672.2814405460595,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,8,679.6037565216425,678.8508189464364,680.2258207314113,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,9,684.4668436312295,684.1052992331748,684.9336151174034,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,10,687.0834931051374,686.5222909657155,687.6374930385983,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,11,685.1991565791884,684.6794829861641,685.890131231347,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Negative head dist,12,173.54038114163285,163.08665143348432,183.0205006989658,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,0,580.9797955092603,577.665869140625,583.882205037529,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,1,543.6842311845623,541.7813997486508,545.4451996093104,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,2,566.2402050976623,564.6559162448044,567.9304216741756,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,3,623.7453174413666,622.716475406944,624.5417814515275,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,4,657.3368096517811,656.7161890373447,658.3173981368454,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,5,669.1059890054767,668.5168900428708,669.3937846183821,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,6,678.3313865393992,677.5771548623139,678.647334875596,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,7,685.9115083108322,685.5072938040449,686.2746612530098,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,8,692.2169105955902,691.5025693273618,692.7557811245928,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,9,694.2388869892745,693.4665778584636,694.6518577970822,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,10,695.6665158942797,695.3007601151976,696.0789764411501,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,11,694.6592561622657,694.0089661010494,695.0685430308542,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
gpt2,pca99,Positive head dist,12,249.6594088015208,244.6754415311904,254.8894399487428,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_pca99_gpt2.csv
