model,metric,class_group,layer,mean,ci_low,ci_high,n_tokens,head_dist_members,aggregation,source_csv
gpt2,iso,Negative head dist,0,0.008253230436746396,0.008129717034823488,0.008385254430894124,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,1,0.014049742104050624,0.01372299874665818,0.014392309281400726,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,2,0.016911625547976875,0.016473375636802026,0.017371929006552562,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,3,0.01780952584066208,0.017355316445172294,0.018236600928385208,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,4,0.019269605440719317,0.018805637541491706,0.019740793842600815,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,5,0.019369746440524832,0.018883580311094498,0.019852554511216723,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,6,0.020307580038234466,0.01982140060260381,0.0208023833555118,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,7,0.019526234105555214,0.019070377885048576,0.019992155402322465,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,8,0.01988313181009429,0.019427185433429046,0.020344226871539913,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,9,0.021913637993866922,0.021276272255474845,0.02245863721022915,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,10,0.022247558118557522,0.021697682319385684,0.02275968140514106,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,11,0.01623664682613174,0.015861675381229182,0.016565256709343716,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Negative head dist,12,0.0017537003160299862,0.0017240491396481854,0.0017831063459550543,70029,"-6,-5,-4,-3,-2,-1",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,0,0.006022350755147055,0.005965228185741249,0.00607185067208294,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,1,0.012979751405509728,0.012806171124207299,0.013144027409518996,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,2,0.016682103075258328,0.016446791868168772,0.016908219121553002,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,3,0.020847815540918784,0.02053142049467281,0.02115615285139972,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,4,0.025159616849229204,0.024772110159719585,0.025552406056337906,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,5,0.02706892175240168,0.026603360191709703,0.027525866643775522,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,6,0.02921105963941949,0.028720694131427,0.02966265471959144,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
gpt2,iso,Positive head dist,7,0.03172390187527377,0.031194958811146794,0.03224330927498978,105905,"1,2,3,4,5,6",token_weighted_mean_of_head_dist_curves,gpt2_no_index/tables_HEADDIST_no_index/headdist_bootstrap/headdist_raw_iso_gpt2.csv
