model,metric,class_group,layer,mean,ci_low,ci_high,se,n_tokens,pos_members,n_pos_members,ci_method,aggregation
gpt2,lpca99,Open classes,0,523.496009084071,521.5079070628477,525.4841111052943,1.0143377659302533,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,1,452.7159607706995,450.6448011482587,454.7871203931403,1.0567140930820467,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,2,256.32024243476246,247.0925364897958,265.5479483797291,4.7080132372278864,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,3,31.570578024648498,22.717441879544722,40.42371416975227,4.516906196481518,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,4,40.81712376323555,30.95708974454825,50.67715778192285,5.030629601371073,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,5,49.64326939767401,38.9409851322702,60.34555366307782,5.460349115001944,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,6,61.52817219232772,50.1206210918314,72.93572329282404,5.820179132906286,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,7,79.19344442515767,66.82851830324144,91.55837054707389,6.308635776487871,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,8,106.7295348029856,93.28014389573434,120.17892571023685,6.861934136352681,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,lpca99,Open classes,9,145.1070025458543,130.65738963236106,159.55661545934754,7.37225148647615,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
