model,metric,class_group,layer,mean,ci_low,ci_high,se,n_tokens,pos_members,n_pos_members,ci_method,aggregation
gpt2,gride,Open classes,0,13.244730492790891,12.543951987205805,13.945508998375978,0.3575400538699425,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,1,11.144448246522984,10.297769899478656,11.991126593567312,0.43197874849200446,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,2,10.112546357372972,9.115704479783231,11.109388234962713,0.5085927946886436,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,3,12.267333589303426,11.464821629755944,13.069845548850909,0.40944487732014384,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,4,14.043796264808678,13.271659847955629,14.815932681661728,0.39394715145563725,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,5,15.555202923081495,15.017830564438004,16.092575281724987,0.27416957073647474,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,6,16.221680399083514,15.714406879116815,16.728953919050213,0.25881302039117304,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,7,16.54298045196957,16.033615227578824,17.052345676360314,0.2598802165258896,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,8,16.94077417041143,16.38889714494671,17.49265119587615,0.2815699109513869,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,9,17.72284604731805,17.14430320664475,18.30138888799135,0.2951749187108669,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,10,18.49417180253532,17.858213602884028,19.13013000218661,0.3244684692098419,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,gride,Open classes,11,19.240992079971356,18.587641101190382,19.89434305875233,0.33334233611274106,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
