model,metric,metric_label,layer,open_mean,closed_mean,open_minus_closed,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
gpt2,lpca99,LID,0,523.496009084071,44.32678839878268,479.16922068528834,476.86630415258156,481.4721372179951,1.1749574146463115,407.8183725744043,0.0,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,1,452.7159607706995,89.90230264364023,362.8136581270593,360.22338164802045,365.4039346060981,1.321569632162677,274.53238126645994,0.0,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,2,256.32024243476246,10.757226316625722,245.56301611813674,236.30890783844592,254.81712439782757,4.721483816168786,52.00971255629487,0.0,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,3,31.570578024648498,1.0,30.570578024648498,21.717441879544722,39.42371416975227,4.516906196481518,6.768034733256517,1.3054342194776754e-11,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,4,40.81712376323555,1.0259169630525917,39.791206800182955,29.93113872036501,49.6512748800009,5.030646979498952,7.909759313730681,2.5788699251625287e-15,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,5,49.64326939767401,1.1295848152629584,48.51368458241105,37.81072181068549,59.21664735413661,5.460695291696712,8.884158882876834,6.440618836248798e-19,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,6,61.52817219232772,1.638780417751378,59.889391774576346,48.477473527322495,71.30131002183019,5.8224072690070665,10.286018996536063,8.147563666289778e-25,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,7,79.19344442515767,3.8713257311871327,75.32211869397054,62.92787445683087,87.7163629311102,6.3235939985406455,11.911283158177664,1.0337408088366075e-32,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,8,106.7295348029856,9.710273591708527,97.01926121127707,83.4749090560696,110.56361336648453,6.910383752656872,14.039634365309388,8.91715042175317e-45,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,9,145.1070025458543,23.044789413216975,122.06221313263732,107.36322505602483,136.76120120924983,7.499483712557397,16.27608216926348,1.4591691348291897e-59,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,10,192.97912110166058,46.762020435351204,146.21710066630936,130.94671076994047,161.48749056267826,7.791015253249435,18.76740012867077,1.3954981945766918e-78,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,11,253.39366284788525,81.83242584240824,171.561237005477,156.43550274736546,186.68697126358856,7.717211356179356,22.23098851220445,1.7229849207130215e-109,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,lpca99,LID,12,156.51359139038362,88.53235342646573,67.98123796391789,62.31815604934337,73.64431987849241,2.889327507435979,23.528394683178433,2.0894596932663223e-122,supports_open_greater_than_closed,normal_approx_from_independent_pos_group_ci,open_class_greater_than_closed_class,token_weighted_open_minus_closed
