model,metric,metric_label,layer,open_mean,closed_mean,open_minus_closed,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
gpt2,gride,NLID,0,18.0371547235963,2.153051281463128,15.88410344213317,15.88410344213317,15.88410344213317,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,1,19.848732585705303,2.6141493893823977,17.234583196322905,17.234583196322905,17.234583196322905,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,2,19.455501805477354,2.5919340021411568,16.863567803336196,16.863567803336196,16.863567803336196,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,3,20.198715653819868,3.678660514475588,16.52005513934428,16.52005513934428,16.52005513934428,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,4,20.66609779296553,4.982967048585428,15.683130744380103,15.683130744380103,15.683130744380103,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,5,21.208079074756924,6.020370097851886,15.187708976905038,15.187708976905038,15.187708976905038,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,6,21.061363925594435,6.871552055992442,14.189811869601993,14.189811869601993,14.189811869601993,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,7,21.169434031253132,7.625937488424813,13.543496542828318,13.543496542828318,13.543496542828318,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,8,21.382080375925703,8.264851249948501,13.117229125977202,13.117229125977202,13.117229125977202,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,9,21.08297334647825,8.832610845460948,12.250362501017303,12.250362501017303,12.250362501017303,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,10,20.07378145848295,9.04578874004811,11.027992718434842,11.027992718434842,11.027992718434842,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,11,18.881732105902337,9.01276477485278,9.868967331049557,9.868967331049557,9.868967331049557,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,gride,NLID,12,4.505182906687146,3.620519857052519,0.8846630496346273,0.8846630496346273,0.8846630496346273,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
