model,metric,metric_label,layer,open_mean,closed_mean,open_minus_closed,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
gpt2,iso,isoscore,0,0.007683052819873086,0.0029147168931529296,0.004768335926720157,0.004768335926720157,0.004768335926720157,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,1,0.006031524248401164,0.0020049844352149904,0.004026539813186174,0.004026539813186174,0.004026539813186174,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,2,0.0015765640049233195,0.0013409621505822797,0.00023560185434103975,0.00023560185434103975,0.00023560185434103975,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,3,0.0013232592126266752,0.001305334335688141,1.7924876938534267e-05,1.7924876938534267e-05,1.7924876938534267e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,4,0.001325874469665741,0.0013061943016500661,1.9680168015674942e-05,1.9680168015674942e-05,1.9680168015674942e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,5,0.0013282689756634483,0.0013071459883303852,2.1122987333063118e-05,2.1122987333063118e-05,2.1122987333063118e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,6,0.0013320297558830742,0.001308506838133792,2.3522917749282165e-05,2.3522917749282165e-05,2.3522917749282165e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,7,0.0013379590022061486,0.0013105318477322021,2.7427154473946445e-05,2.7427154473946445e-05,2.7427154473946445e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,8,0.0013477961415416157,0.0013137022194023933,3.409392213922242e-05,3.409392213922242e-05,3.409392213922242e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,9,0.0013618192022815292,0.0013193379037624707,4.248129851905846e-05,4.248129851905846e-05,4.248129851905846e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,10,0.0013844277863656648,0.0013288377348104423,5.559005155522244e-05,5.559005155522244e-05,5.559005155522244e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,11,0.0014281989517032187,0.0013448103480655255,8.338860363769321e-05,8.338860363769321e-05,8.338860363769321e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
gpt2,iso,isoscore,12,0.0016756557213791674,0.0015959970525726542,7.965866880651324e-05,7.965866880651324e-05,7.965866880651324e-05,0.0,,,observed_open_greater_than_closed_no_ci,no_source_uncertainty,open_class_greater_than_closed_class,token_weighted_open_minus_closed
