model,metric,metric_label,metric_family,scope,layer,open_minus_closed,ci_low,ci_high,se,p_value_two_sided,n_layers,n_positive_layers,n_supported_layers,support,ci_method
bert-base-uncased,iso,isoscore,Isotropy,last_layer,12.0,0.014561232688300434,0.014179133350649865,0.014943332025951004,0.00019494864165845344,0.0,1,1,1,supports_open_greater_than_closed,normal_approx_from_contrast_ci
bert-base-uncased,iso,isoscore,Isotropy,layer_mean,,0.026828030890806934,0.026682695114189105,0.026973366667424763,7.415090643766706e-05,0.0,13,13,13,supports_open_greater_than_closed,normal_approx_from_contrast_ci
bert-base-uncased,lpca99,LID,Linear ID,last_layer,12.0,20.91246502499314,20.5035074930917,21.32142255689458,0.20865180199052977,0.0,1,1,1,supports_open_greater_than_closed,normal_approx_from_contrast_ci
bert-base-uncased,lpca99,LID,Linear ID,layer_mean,,138.70924704197807,138.44246394286213,138.97603014109401,0.1361138260795679,0.0,13,13,13,supports_open_greater_than_closed,normal_approx_from_contrast_ci
bert-base-uncased,gride,NLID,Nonlinear ID,last_layer,12.0,4.138113109493421,3.8285135001822415,4.447712718804601,0.15795898434243852,2.845747860383862e-151,1,1,1,supports_open_greater_than_closed,normal_approx_from_contrast_ci
bert-base-uncased,gride,NLID,Nonlinear ID,layer_mean,,4.815845327661956,4.528048867101855,5.103641788222056,0.1468349288571939,6.353637593942519e-236,13,13,13,supports_open_greater_than_closed,normal_approx_from_contrast_ci
gpt2,iso,isoscore,Isotropy,last_layer,12.0,7.965866880651324e-05,7.965866880651324e-05,7.965866880651324e-05,0.0,,1,1,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
gpt2,iso,isoscore,Isotropy,layer_mean,,0.000725797557185814,0.000725797557185814,0.000725797557185814,0.0,,13,13,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
gpt2,lpca99,LID,Linear ID,last_layer,12.0,41.94208153419817,41.94208153419817,41.94208153419817,0.0,,1,1,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
gpt2,lpca99,LID,Linear ID,layer_mean,,113.30258463509281,113.30258463509281,113.30258463509281,0.0,,13,13,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
gpt2,gride,NLID,Nonlinear ID,last_layer,12.0,0.8846630496346273,0.8846630496346273,0.8846630496346273,0.0,,1,1,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
gpt2,gride,NLID,Nonlinear ID,layer_mean,,13.250436341612733,13.250436341612733,13.250436341612733,0.0,,13,13,0,observed_open_greater_than_closed_no_ci,no_source_uncertainty
