subset,model,word_rep_mode,feature,pos,class,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,0,23.45893669128418,14.172174453735352,26.82682228088379,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,1,22.271970748901367,15.564090728759766,25.760087966918945,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,2,19.903587341308594,14.217599868774414,22.81036949157715,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,3,18.81039810180664,14.656403541564941,21.260915756225586,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,4,16.934932708740234,13.76604175567627,18.75386619567871,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,5,16.482112884521484,13.676799774169922,18.16596031188965,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,6,16.57724380493164,14.236079216003418,18.168231964111328,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,7,17.34642219543457,14.748815536499023,19.169755935668945,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,8,17.762794494628906,15.55228042602539,19.35300064086914,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,9,19.484222412109375,17.775781631469727,20.64912223815918,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,10,20.93283462524414,20.02763557434082,22.078231811523438,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,11,21.282915115356445,20.40081214904785,22.293161392211914,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,gride,12,21.77840805053711,21.15561866760254,22.652910232543945,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,0,27.112361907958984,25.42469024658203,28.86758804321289,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,1,28.803333282470703,26.721681594848633,31.365371704101562,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,2,25.23155975341797,22.705656051635742,27.693971633911133,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,3,23.313356399536133,21.530298233032227,25.27903938293457,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,4,21.365583419799805,19.300371170043945,23.37691879272461,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,5,20.633983612060547,19.2253360748291,22.620014190673828,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,6,20.680400848388672,19.156417846679688,22.556156158447266,191,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-5,gride,7,21.236299514770508,19.7164306640625,22.812700271606445,191,en_ewt-ud-train_sentences.csv
