subset,model,word_rep_mode,feature,pos,class,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,0,251.4600067138672,240.89999389648438,260.7749938964844,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,1,293.79998779296875,285.2250061035156,301.7749938964844,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,2,314.3800048828125,304.45001220703125,323.0,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,3,323.2200012207031,313.2250061035156,331.0,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,4,331.67999267578125,322.2250061035156,339.7749938964844,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,5,340.239990234375,331.0,348.0,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,6,346.5400085449219,337.2250061035156,355.0,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,7,352.739990234375,344.0,360.7749938964844,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,8,356.4599914550781,348.0,364.7749938964844,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,9,364.0199890136719,356.0,372.54998779296875,796,en_ewt-ud-train_sentences.csv
ADJ_head_dist,bert-base-uncased,first,head_dist,ADJ,-6,lpca99,10,368.8800048828125,360.2250061035156,377.0,796,en_ewt-ud-train_sentences.csv
