subset,model,word_rep_mode,feature,pos,class,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,0,0.09587693959474564,0.08111511915922165,0.11335822194814682,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,1,0.10133698582649231,0.08829253166913986,0.1159999892115593,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,2,0.10685928165912628,0.09308778494596481,0.12258323282003403,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,3,0.12086106091737747,0.10783065855503082,0.13485276699066162,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,4,0.13318556547164917,0.11781153082847595,0.14629404246807098,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,5,0.14307089149951935,0.12841059267520905,0.15530984103679657,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,6,0.16336113214492798,0.1441308706998825,0.17813916504383087,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,7,0.18607011437416077,0.163438081741333,0.20553122460842133,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,8,0.20772840082645416,0.18299487233161926,0.2252894639968872,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,9,0.2318747341632843,0.2081224024295807,0.25037163496017456,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,10,0.24371452629566193,0.21910791099071503,0.26209190487861633,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,11,0.24634435772895813,0.22132422029972076,0.26968199014663696,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-6,iso,12,0.2526519298553467,0.22450487315654755,0.2812967300415039,121,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,0,0.1868170201778412,0.14927706122398376,0.2246946543455124,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,1,0.19045884907245636,0.15150097012519836,0.2257545292377472,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,2,0.20108026266098022,0.16077165305614471,0.23921601474285126,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,3,0.21482868492603302,0.1788717806339264,0.25103774666786194,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,4,0.22926652431488037,0.19161581993103027,0.26235273480415344,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,5,0.24387922883033752,0.20928366482257843,0.2736370861530304,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,6,0.2553045451641083,0.2144172191619873,0.2876521944999695,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,7,0.2752929925918579,0.22974953055381775,0.306325227022171,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,8,0.28380945324897766,0.23676510155200958,0.3261669874191284,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,9,0.3030915856361389,0.2610101103782654,0.34542909264564514,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,10,0.31434085965156555,0.27359914779663086,0.36008378863334656,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,11,0.3047378659248352,0.2638746201992035,0.3500618636608124,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-5,iso,12,0.3083031177520752,0.26892250776290894,0.3470951318740845,51,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,0,0.08159475028514862,0.06643051654100418,0.09900936484336853,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,1,0.08626493811607361,0.07114586979150772,0.10239717364311218,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,2,0.08804621547460556,0.07436501979827881,0.10435518622398376,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,3,0.09605599194765091,0.08172812312841415,0.11108433455228806,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,4,0.10489251464605331,0.08882222324609756,0.12049207836389542,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,5,0.10798222571611404,0.09061591327190399,0.12505348026752472,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,6,0.12181169539690018,0.1049397736787796,0.13966414332389832,119,en_ewt-ud-train_sentences.csv
PRON_head_dist,bert-base-uncased,first,head_dist,PRON,-4,iso,7,0.13916781544685364,0.12140776962041855,0.15950646996498108,119,en_ewt-ud-train_sentences.csv
