pos,head_dist_class,n_tokens
ADJ,-6,796
ADJ,-5,191
ADJ,-4,262
ADJ,-3,340
ADJ,-2,600
ADJ,-1,470
ADJ,1,6513
ADJ,2,1312
ADJ,3,405
ADJ,4,182
ADJ,5,82
ADJ,6,149
PRON,-6,121
PRON,-5,51
PRON,-4,119
PRON,-3,157
PRON,-2,842
PRON,-1,2368
PRON,1,5483
PRON,2,3193
PRON,3,1578
PRON,4,507
PRON,5,244
PRON,6,204
PROPN,-6,789
PROPN,-5,358
PROPN,-4,592
PROPN,-3,936
PROPN,-2,2110
PROPN,-1,1375
PROPN,1,2350
PROPN,2,888
PROPN,3,418
PROPN,4,224
PROPN,5,83
PROPN,6,205
VERB,-6,4532
VERB,-5,1058
VERB,-4,1488
VERB,-3,1839
VERB,-2,3726
VERB,-1,765
VERB,1,505
VERB,2,213
VERB,3,131
VERB,4,116
VERB,5,107
VERB,6,687
